Date,Open,High,Low,Close,Volume
2021-09-09,1.37627,1.38537,1.3753,1.38536,60963
2021-09-10,1.38537,1.38883,1.38322,1.38461,61357
2021-09-11,1.38461,1.38591,1.38258,1.38299,10909
2021-09-13,1.38303,1.38508,1.37968,1.38434,44648
2021-09-14,1.38433,1.3913,1.38262,1.38466,57990
2021-09-15,1.38465,1.38569,1.37922,1.38351,55297
2021-09-16,1.38349,1.38523,1.37642,1.37833,45248
2021-09-17,1.37833,1.38125,1.37409,1.37545,55802
2021-09-18,1.37543,1.37642,1.37256,1.37283,7452
2021-09-20,1.37346,1.37487,1.36459,1.3656,52314
2021-09-21,1.36559,1.36927,1.36405,1.36628,63500
2021-09-22,1.36627,1.36779,1.36158,1.36673,51386
2021-09-23,1.36674,1.37494,1.3609,1.37444,95812
2021-09-24,1.37443,1.37505,1.36576,1.36803,51914
2021-09-25,1.36802,1.369,1.3659,1.3673,6424
2021-09-27,1.36617,1.37287,1.36577,1.37119,56496
2021-09-28,1.37119,1.3717,1.35231,1.35353,77274
2021-09-29,1.35353,1.35544,1.34219,1.3437,80476
2021-09-30,1.34369,1.3517,1.34116,1.34689,69923
2021-10-01,1.34691,1.35753,1.34333,1.35701,92092
2021-10-02,1.35703,1.35748,1.35418,1.35423,10988
2021-10-04,1.35544,1.36401,1.35314,1.36005,64272
2021-10-05,1.36006,1.36477,1.35841,1.36395,65647
2021-10-06,1.36393,1.36444,1.35436,1.3566,79831
2021-10-07,1.3566,1.36383,1.35531,1.36318,65097
2021-10-08,1.36318,1.36577,1.35832,1.36291,66741
2021-10-09,1.36291,1.36291,1.36087,1.36087,7725
2021-10-11,1.36171,1.36735,1.36085,1.36245,46324
2021-10-12,1.36245,1.36371,1.35681,1.36029,57971
2021-10-13,1.36027,1.36482,1.35755,1.3644,65429
2021-10-14,1.36442,1.37341,1.36316,1.36839,53839
2021-10-15,1.36841,1.37731,1.36672,1.37554,56107
2021-10-16,1.37553,1.37639,1.37389,1.37439,8113
2021-10-18,1.37484,1.37649,1.37088,1.37267,46241
2021-10-19,1.3727,1.38334,1.37232,1.38056,47916
2021-10-20,1.38057,1.38243,1.3742,1.38201,51748
2021-10-21,1.38201,1.38343,1.37857,1.38098,53678
2021-10-22,1.381,1.38149,1.37358,1.37428,74086
2021-10-23,1.37425,1.37618,1.37354,1.37514,16713
2021-10-25,1.37455,1.37918,1.3737,1.37728,56256
2021-10-26,1.37728,1.38293,1.37562,1.37694,64248
2021-10-27,1.37694,1.37808,1.37092,1.37381,76562
2021-10-28,1.37381,1.38149,1.37219,1.38032,82696
2021-10-29,1.38036,1.38064,1.36802,1.36844,80939
2021-10-30,1.36843,1.36982,1.36678,1.36762,12574
2021-11-01,1.36764,1.3693,1.36416,1.36774,55703
2021-11-02,1.36777,1.36813,1.36081,1.3611,69434
2021-11-03,1.36112,1.36662,1.36053,1.36585,51084
2021-11-04,1.36584,1.36984,1.34707,1.34913,103071
2021-11-05,1.34916,1.35159,1.3424,1.34897,73886
2021-11-06,1.34896,1.35066,1.34767,1.34928,10494
2021-11-08,1.34764,1.35795,1.34498,1.35615,54007
2021-11-09,1.35614,1.36071,1.3529,1.35501,63909
2021-11-10,1.355,1.35677,1.34681,1.34747,78049
2021-11-11,1.34746,1.34991,1.33635,1.33916,80967
2021-11-12,1.33913,1.34244,1.33528,1.33938,65347
2021-11-13,1.33938,1.3426,1.33919,1.3414,11774
2021-11-15,1.34127,1.34493,1.34027,1.34311,47561
2021-11-16,1.34314,1.34725,1.34048,1.34204,76422
